id,age,job,marital,education,credit_default,housing,loan
54,53,admin.,single,professional.course,False,False,False
55,55,blue-collar,married,basic.4y,,False,False
56,55,technician,married,professional.course,,True,False
57,50,management,married,university.degree,,False,True
58,45,services,married,high.school,,True,False
59,55,unemployed,married,professional.course,,True,True
60,25,technician,single,university.degree,False,True,False
61,47,entrepreneur,married,university.degree,,False,False
62,51,blue-collar,married,basic.9y,False,True,False
63,42,blue-collar,married,basic.6y,,True,False
64,42,blue-collar,married,basic.6y,,False,False
65,48,admin.,married,high.school,False,False,False
66,37,admin.,married,university.degree,False,False,False
67,44,blue-collar,single,basic.9y,False,True,False
68,33,admin.,married,unknown,False,True,False
69,56,admin.,married,basic.9y,False,True,False
70,44,blue-collar,single,basic.4y,,True,True
71,41,management,married,basic.6y,False,False,False
72,44,management,divorced,university.degree,False,True,False
73,47,admin.,married,university.degree,,True,False
74,57,unknown,married,unknown,,False,False
75,37,admin.,married,university.degree,,True,False
76,41,blue-collar,divorced,basic.4y,,True,False
77,55,technician,married,university.degree,False,False,False
78,33,services,married,high.school,,True,False
79,55,management,married,unknown,,True,False
80,42,blue-collar,married,basic.9y,,False,False
81,50,blue-collar,married,basic.4y,,True,False
82,51,blue-collar,married,basic.4y,,,
83,38,admin.,married,high.school,,False,False
84,49,entrepreneur,married,university.degree,,True,False
85,38,technician,single,university.degree,False,False,True
86,31,admin.,divorced,high.school,False,False,False
87,41,management,married,basic.6y,False,False,False
88,39,admin.,married,university.degree,False,True,True
89,49,technician,married,basic.9y,False,False,False
90,34,admin.,married,high.school,False,True,False
91,35,admin.,married,university.degree,False,True,False
92,57,unknown,married,unknown,,True,False
93,60,admin.,married,unknown,,False,True
94,33,unemployed,married,basic.9y,False,False,False
95,42,blue-collar,married,basic.6y,False,False,True
96,45,services,married,professional.course,False,True,False
97,42,management,married,university.degree,False,False,False
98,53,admin.,divorced,university.degree,,False,False
99,37,technician,single,professional.course,False,False,False
100,44,blue-collar,married,basic.6y,False,False,False
101,54,services,married,unknown,False,True,False
102,49,blue-collar,married,basic.4y,False,False,False
103,54,services,married,unknown,False,False,False
104,52,admin.,divorced,university.degree,False,False,False
105,52,admin.,divorced,university.degree,False,False,False
106,43,services,single,high.school,,False,False
107,34,housemaid,married,basic.6y,False,True,False
108,35,admin.,married,high.school,False,True,False
109,42,entrepreneur,married,unknown,,True,False
110,43,technician,married,unknown,,True,True
111,60,retired,divorced,university.degree,,False,False
112,58,unemployed,married,basic.4y,,False,False
113,35,services,divorced,high.school,False,True,False
114,55,blue-collar,married,basic.9y,,True,False
115,37,management,married,university.degree,False,False,False
116,36,blue-collar,married,high.school,False,False,False
117,52,admin.,divorced,university.degree,False,False,False
118,57,blue-collar,divorced,unknown,,True,False
119,56,admin.,married,unknown,False,True,False
120,48,blue-collar,divorced,basic.4y,,True,False
121,40,blue-collar,married,high.school,,True,False
122,49,blue-collar,divorced,high.school,False,False,False
123,41,services,married,high.school,False,False,False
124,45,technician,married,high.school,False,True,False
125,32,admin.,married,university.degree,False,True,True
126,42,admin.,married,university.degree,False,False,True
127,50,admin.,married,basic.6y,False,False,False
128,31,technician,divorced,professional.course,False,True,True
129,56,retired,married,basic.4y,False,True,False
130,41,technician,married,professional.course,,True,False
131,37,blue-collar,married,basic.6y,False,True,True
132,41,technician,married,professional.course,,False,False
133,35,blue-collar,married,unknown,False,True,False
134,37,blue-collar,married,basic.6y,False,True,False
135,52,management,married,university.degree,False,False,False
136,39,management,divorced,university.degree,False,False,False
137,39,housemaid,married,basic.4y,,False,False
138,56,blue-collar,married,basic.4y,,False,False
139,34,services,married,high.school,False,True,False
140,45,blue-collar,married,basic.9y,,True,False
141,43,unemployed,single,university.degree,False,True,False
142,56,management,married,unknown,False,True,False
143,39,management,married,university.degree,False,True,False
144,53,blue-collar,married,basic.4y,False,True,False
145,38,unknown,divorced,high.school,,True,False
146,42,blue-collar,married,basic.4y,,True,False
147,42,blue-collar,married,basic.4y,,False,False
148,35,admin.,single,high.school,False,True,False
149,40,admin.,married,university.degree,,True,False
150,51,blue-collar,married,basic.4y,False,True,False
151,60,blue-collar,married,basic.9y,,False,False
152,56,entrepreneur,married,unknown,,True,False
153,39,services,divorced,high.school,,True,False
154,56,entrepreneur,married,unknown,,False,False
155,40,blue-collar,married,unknown,False,True,True
156,36,blue-collar,married,basic.9y,False,True,True
157,51,blue-collar,married,unknown,,True,False
158,51,blue-collar,married,unknown,,False,False
159,43,technician,single,professional.course,False,True,False
160,59,services,married,high.school,False,False,False
161,24,management,single,university.degree,False,True,False
162,37,blue-collar,single,basic.9y,,True,True
163,40,blue-collar,married,basic.9y,,False,False
164,42,blue-collar,married,basic.9y,,False,False
165,39,services,divorced,high.school,,False,False
166,37,entrepreneur,married,basic.6y,False,False,False
167,38,services,married,high.school,False,True,True
168,56,admin.,divorced,unknown,,False,False
169,40,blue-collar,married,unknown,False,False,False
170,54,management,divorced,university.degree,False,True,False
171,43,blue-collar,married,high.school,,False,True
172,36,services,married,high.school,,False,False
173,45,technician,married,university.degree,False,True,True
174,42,admin.,single,university.degree,,False,False
175,43,services,married,high.school,False,False,False
176,46,management,married,basic.9y,False,False,False
177,44,services,married,high.school,False,True,True
178,51,admin.,single,basic.6y,False,False,False
179,28,services,married,high.school,False,True,False
180,37,blue-collar,married,basic.9y,False,False,False
181,34,technician,married,high.school,False,False,False
182,46,blue-collar,married,basic.6y,,True,False
183,42,blue-collar,married,basic.9y,False,True,True
184,36,admin.,married,university.degree,False,True,False
185,54,blue-collar,married,basic.4y,,False,False
186,57,management,married,university.degree,False,False,False
187,51,technician,married,basic.6y,,False,False
188,54,retired,married,high.school,,False,False
189,49,blue-collar,married,basic.4y,,False,False
190,34,admin.,married,university.degree,False,True,False
191,41,technician,married,professional.course,False,False,False
192,38,blue-collar,single,basic.9y,False,True,False
193,45,management,divorced,university.degree,False,False,False
194,42,technician,married,university.degree,False,False,False
195,34,blue-collar,single,basic.9y,,True,False
196,48,blue-collar,married,basic.4y,False,True,False
197,37,admin.,married,high.school,,True,False
198,34,blue-collar,single,basic.9y,,False,False
199,40,admin.,married,basic.9y,,True,False
200,43,blue-collar,married,basic.6y,False,True,False
201,33,services,married,high.school,False,False,False
202,32,services,single,basic.6y,False,False,False
203,39,blue-collar,married,high.school,False,True,False
204,43,admin.,married,unknown,False,False,False
205,44,blue-collar,married,basic.9y,False,True,False
206,35,student,single,university.degree,,False,False
207,35,student,single,university.degree,,True,True
208,35,unemployed,married,professional.course,False,False,False
209,36,services,single,basic.4y,False,False,False
210,35,student,single,university.degree,,True,False
211,36,student,single,basic.9y,False,True,False
212,55,housemaid,divorced,university.degree,False,False,False
213,59,admin.,married,university.degree,False,False,False
214,57,retired,married,unknown,,False,False
215,39,blue-collar,married,professional.course,,True,False
216,39,housemaid,married,basic.4y,,True,False
217,30,blue-collar,single,unknown,False,True,False
218,30,blue-collar,single,unknown,False,True,True
219,50,housemaid,married,basic.4y,,False,False
220,40,services,married,high.school,False,False,False
221,35,admin.,married,high.school,False,True,False
222,43,technician,married,unknown,,False,False
223,36,services,single,basic.6y,,True,False
224,46,technician,married,basic.4y,,True,False
225,40,technician,married,basic.9y,False,False,False
226,58,retired,married,university.degree,False,False,False
227,42,technician,married,university.degree,False,False,False
228,35,admin.,single,university.degree,False,False,False
229,43,retired,married,basic.4y,,False,False
230,45,blue-collar,married,basic.4y,False,True,True
231,39,admin.,married,professional.course,False,True,False
232,50,services,divorced,professional.course,False,True,False
233,32,management,divorced,basic.4y,,True,False
234,39,admin.,married,high.school,,False,False
235,52,self-employed,married,university.degree,,False,False
236,44,admin.,married,professional.course,False,True,False
237,56,blue-collar,married,basic.4y,False,False,False
238,48,admin.,married,high.school,False,False,False
239,33,services,married,high.school,,False,True
240,43,management,married,university.degree,,False,True
241,57,retired,married,high.school,False,False,False
242,36,technician,single,professional.course,False,False,False
243,34,management,married,university.degree,False,True,False
244,34,services,single,basic.9y,False,False,False
245,30,technician,married,university.degree,,False,False
246,33,services,divorced,unknown,False,False,False
247,32,technician,single,professional.course,False,False,False
248,36,technician,single,high.school,False,True,False
249,36,blue-collar,single,high.school,False,False,True
250,33,services,single,high.school,False,False,False
251,40,technician,divorced,professional.course,False,False,False
252,41,blue-collar,married,basic.4y,False,True,False
253,51,services,married,basic.6y,False,True,False
254,36,technician,married,professional.course,False,True,False
255,28,services,married,unknown,False,False,False
256,53,services,married,high.school,False,True,True
257,58,blue-collar,married,basic.9y,,True,False
258,45,management,married,basic.9y,False,False,True
259,43,technician,married,unknown,False,True,False
260,33,admin.,married,high.school,False,False,True
261,33,admin.,married,high.school,False,False,True
262,27,blue-collar,single,basic.6y,False,,
263,42,technician,married,high.school,False,False,False
264,43,admin.,divorced,basic.9y,False,False,False
265,42,admin.,married,university.degree,False,False,False
266,27,blue-collar,single,basic.6y,False,False,False
267,34,self-employed,single,university.degree,False,True,False
268,31,student,single,university.degree,,False,False
269,54,management,divorced,university.degree,False,False,False
270,40,self-employed,married,basic.4y,,False,False
271,52,unemployed,married,high.school,,True,False
272,47,management,divorced,university.degree,False,False,False
273,49,housemaid,married,basic.9y,,False,False
274,32,admin.,single,high.school,False,False,False
275,49,housemaid,single,high.school,,True,True
276,50,blue-collar,married,basic.9y,,False,False
277,34,services,married,high.school,False,False,False
278,55,blue-collar,married,basic.4y,,False,False
279,47,technician,single,basic.9y,False,False,False
280,51,retired,married,professional.course,False,False,False
281,47,blue-collar,married,basic.6y,False,False,False
282,56,technician,married,basic.4y,False,True,False
283,53,admin.,married,basic.9y,False,False,False
284,36,blue-collar,married,basic.9y,False,True,False
285,42,blue-collar,divorced,basic.9y,False,True,False
286,44,blue-collar,divorced,basic.6y,False,False,False
287,39,housemaid,married,basic.9y,False,True,False
288,37,admin.,single,high.school,False,True,True
289,60,blue-collar,married,unknown,,True,False
290,36,services,married,high.school,False,False,False
291,42,management,divorced,university.degree,False,True,False
292,31,admin.,married,high.school,False,True,True
293,53,technician,divorced,professional.course,,False,True
294,45,blue-collar,married,basic.4y,False,True,False
295,37,technician,single,professional.course,False,True,False
296,47,self-employed,married,professional.course,False,False,False
297,49,blue-collar,divorced,high.school,False,False,True
298,36,admin.,married,university.degree,False,True,False
299,35,services,divorced,high.school,False,False,False
300,38,unknown,married,unknown,,False,False
301,38,services,single,high.school,,False,False
302,50,blue-collar,divorced,high.school,,False,True
303,59,retired,married,professional.course,,False,False
304,43,unknown,married,unknown,False,True,False
305,42,admin.,married,high.school,False,True,False
306,40,admin.,married,basic.6y,,True,False
307,46,blue-collar,married,unknown,,False,False
308,57,housemaid,divorced,basic.4y,False,True,True
309,42,admin.,married,university.degree,False,True,False
310,41,blue-collar,married,basic.4y,False,True,False
311,54,management,divorced,university.degree,False,True,False
312,27,admin.,single,university.degree,False,False,False
313,36,admin.,married,high.school,False,False,False
314,58,blue-collar,married,professional.course,,True,False
315,40,management,married,university.degree,,True,False
316,34,admin.,single,basic.9y,,False,False
317,33,admin.,divorced,high.school,False,False,False
318,56,retired,married,basic.6y,False,False,False
319,42,blue-collar,married,basic.9y,False,False,False
320,43,services,married,high.school,False,True,False
321,54,management,single,basic.9y,False,True,False
322,53,admin.,single,basic.6y,False,True,True
323,42,technician,single,unknown,False,False,False
324,40,services,married,basic.6y,,False,False
325,54,technician,married,professional.course,False,True,True
326,40,housemaid,single,professional.course,False,False,False
327,26,admin.,single,university.degree,False,True,False
328,33,admin.,married,high.school,False,False,False
329,35,blue-collar,married,basic.9y,,False,False
330,36,admin.,married,high.school,False,False,False
331,29,services,single,high.school,False,True,False
332,36,blue-collar,married,basic.9y,False,True,False
333,35,management,married,high.school,False,True,False
334,50,self-employed,single,university.degree,False,False,True
335,46,services,married,high.school,,True,False
336,49,entrepreneur,married,high.school,False,True,False
337,42,technician,single,professional.course,,True,False
338,36,blue-collar,single,high.school,False,True,True
339,55,blue-collar,married,basic.9y,,True,False
340,41,management,married,university.degree,,False,False
341,57,management,married,professional.course,,True,False
342,32,services,single,high.school,False,True,False
343,49,admin.,married,basic.9y,False,False,False
344,57,unknown,married,unknown,,True,False
345,58,blue-collar,divorced,basic.4y,False,True,False
346,52,technician,married,high.school,False,True,False
347,50,services,divorced,professional.course,False,False,False
348,41,blue-collar,single,basic.9y,,True,False
349,33,entrepreneur,married,university.degree,False,True,False
350,57,blue-collar,married,basic.4y,False,False,False
351,48,blue-collar,married,basic.6y,,False,False
352,55,technician,married,professional.course,False,False,False
353,38,management,married,university.degree,False,False,False
354,38,services,married,high.school,False,True,False
355,53,admin.,married,university.degree,False,True,False
356,43,unemployed,single,university.degree,False,False,False
357,36,blue-collar,single,high.school,False,False,False
358,32,blue-collar,married,basic.9y,False,False,False
359,33,services,married,basic.4y,False,False,False
360,58,entrepreneur,married,basic.4y,False,True,False
361,40,unemployed,divorced,high.school,,False,False
362,57,management,married,university.degree,False,True,False
363,45,technician,married,high.school,False,True,False
364,42,blue-collar,married,basic.4y,,True,False
365,46,admin.,married,university.degree,False,True,False
366,36,technician,married,university.degree,False,False,False
367,41,self-employed,married,high.school,False,True,False
368,57,admin.,divorced,basic.9y,False,False,False
369,49,blue-collar,married,basic.9y,,True,False
370,56,management,divorced,high.school,False,False,False
371,37,blue-collar,married,basic.9y,False,False,False
372,37,blue-collar,married,basic.9y,False,False,True
373,46,admin.,single,high.school,False,True,False
374,22,blue-collar,single,basic.9y,False,True,False
375,43,services,married,high.school,False,False,False
376,49,blue-collar,married,unknown,False,False,False
377,41,technician,married,basic.6y,False,True,False
378,38,admin.,single,university.degree,False,False,False
379,33,admin.,married,basic.9y,False,False,False
380,49,admin.,married,university.degree,False,True,True
381,30,blue-collar,single,unknown,False,False,False
382,33,admin.,married,basic.9y,False,True,False
383,34,management,single,university.degree,False,False,False
384,30,student,single,unknown,,False,False
385,59,management,married,basic.4y,,True,True
386,59,management,married,basic.4y,,,
387,41,self-employed,married,university.degree,False,False,False
388,48,housemaid,married,basic.6y,,True,True
389,28,unknown,single,unknown,,True,True
390,44,services,married,high.school,False,True,False
391,59,retired,unknown,university.degree,,False,False
392,50,management,married,high.school,,False,False
393,35,admin.,married,university.degree,False,False,False
394,42,admin.,married,high.school,False,False,False
395,45,admin.,married,basic.9y,False,False,False
396,36,technician,married,professional.course,False,False,False
397,56,services,married,high.school,,False,False
398,29,blue-collar,divorced,basic.4y,False,False,False
399,41,self-employed,married,university.degree,False,True,True
400,42,blue-collar,married,basic.9y,,False,False
401,52,services,single,high.school,False,False,False
402,48,services,married,high.school,,,
403,31,blue-collar,married,high.school,,True,False
404,43,unemployed,married,university.degree,,True,False
405,36,blue-collar,married,basic.4y,,False,False
406,42,entrepreneur,married,university.degree,False,True,False
407,52,services,divorced,basic.6y,False,False,False
408,39,admin.,married,high.school,False,True,False
409,36,services,married,high.school,False,False,True
410,42,blue-collar,married,basic.9y,,True,False
411,41,admin.,married,high.school,False,False,False
412,55,technician,married,basic.4y,False,False,True
413,30,blue-collar,married,basic.9y,False,False,False
414,57,retired,unknown,basic.4y,False,False,False
415,45,entrepreneur,married,basic.4y,,True,False
416,51,blue-collar,married,basic.4y,,True,True
417,39,self-employed,single,basic.9y,,True,True
418,47,admin.,married,high.school,,False,False
419,27,services,married,high.school,False,True,False
420,34,technician,single,university.degree,False,True,False
421,57,blue-collar,married,basic.4y,,True,False
422,43,entrepreneur,married,basic.4y,False,False,False
423,49,blue-collar,married,basic.4y,,False,False
424,39,management,married,university.degree,,False,False
425,38,blue-collar,married,basic.4y,,True,False
426,49,blue-collar,married,basic.9y,False,False,False
427,58,management,married,basic.6y,False,False,False
428,43,technician,married,professional.course,False,True,False
429,50,unknown,married,unknown,,True,False
430,31,services,married,high.school,,False,False
431,43,self-employed,divorced,university.degree,False,False,False
432,43,self-employed,married,basic.9y,,False,False
433,30,self-employed,single,university.degree,False,True,False
434,27,services,single,professional.course,False,True,True
435,51,services,married,unknown,,False,False
436,37,technician,married,professional.course,False,True,False
437,46,housemaid,married,basic.9y,False,True,False
438,35,blue-collar,married,professional.course,False,False,False
439,47,admin.,divorced,university.degree,False,False,False
440,46,management,married,unknown,False,True,False
441,40,technician,married,professional.course,,False,True
442,26,housemaid,married,university.degree,False,False,False
443,32,blue-collar,divorced,basic.9y,,False,False
444,45,management,married,university.degree,False,True,False
445,34,admin.,married,basic.9y,False,False,False
446,47,blue-collar,married,unknown,,False,False
447,42,technician,married,professional.course,False,False,False
448,57,technician,married,basic.4y,,False,True
449,57,technician,married,basic.4y,,False,False
450,38,blue-collar,married,basic.4y,False,False,True
451,57,technician,married,basic.4y,,False,False
452,28,student,single,basic.9y,,True,False
453,60,management,married,university.degree,False,False,False
454,48,admin.,married,university.degree,False,True,False
455,47,technician,married,professional.course,False,True,False
456,40,admin.,married,high.school,False,False,False
457,51,management,married,professional.course,,True,False
458,48,unemployed,single,basic.4y,False,True,False
459,54,housemaid,married,basic.4y,False,False,False
460,40,blue-collar,married,basic.6y,False,False,True
461,44,admin.,single,basic.9y,,False,False
462,42,technician,divorced,high.school,False,False,False
463,52,self-employed,married,university.degree,False,True,False
464,31,blue-collar,single,basic.9y,False,True,False
465,32,services,married,high.school,False,False,False
466,44,admin.,married,high.school,False,True,True
467,39,management,married,basic.6y,,False,False
468,57,management,married,professional.course,,True,False
469,52,admin.,married,basic.4y,False,True,False
470,42,management,married,university.degree,False,False,False
471,42,technician,single,professional.course,,,
472,43,management,married,professional.course,False,True,False
473,31,admin.,divorced,high.school,False,False,False
474,29,admin.,married,university.degree,,True,False
475,57,blue-collar,divorced,basic.4y,False,False,False
476,44,blue-collar,married,basic.9y,,False,False
477,59,unknown,married,unknown,,False,False
478,39,blue-collar,married,basic.4y,,False,False
479,57,retired,married,university.degree,False,False,False
480,41,management,married,unknown,,False,False
481,37,technician,single,high.school,,False,True
482,38,services,married,high.school,False,True,False
483,42,retired,married,basic.4y,False,False,False
484,49,unknown,married,unknown,,True,False
485,54,management,married,basic.6y,,True,True
486,36,admin.,married,university.degree,False,,
487,32,admin.,single,university.degree,,False,False
488,35,technician,married,professional.course,False,True,False
489,45,housemaid,married,professional.course,,False,False
490,56,technician,married,unknown,False,True,False
491,34,technician,married,university.degree,False,True,False
492,41,unemployed,married,basic.9y,,False,False
493,41,services,married,basic.9y,False,False,False
494,36,blue-collar,married,basic.9y,,False,False
495,32,admin.,single,university.degree,,,
496,31,services,married,high.school,,,
497,38,technician,married,professional.course,False,True,False
498,35,admin.,divorced,university.degree,,True,False
499,53,admin.,married,professional.course,False,True,False
500,51,admin.,married,basic.6y,,True,False
501,56,entrepreneur,married,university.degree,,False,False
502,33,admin.,married,basic.9y,False,,
503,33,admin.,married,basic.9y,False,False,False
504,51,services,divorced,high.school,,True,False
505,39,services,married,high.school,,True,False
506,45,entrepreneur,married,university.degree,False,False,False
507,40,technician,single,university.degree,False,False,False
508,60,unknown,single,unknown,,True,False
509,33,technician,married,university.degree,False,True,False
510,47,blue-collar,married,high.school,,True,False
511,48,blue-collar,married,basic.4y,False,False,False
512,43,entrepreneur,married,high.school,False,False,False
513,37,management,married,university.degree,False,True,False
514,50,services,married,basic.9y,False,True,True
515,59,entrepreneur,married,high.school,False,True,False
516,32,technician,married,unknown,,True,False
517,42,housemaid,single,basic.4y,,True,False
518,52,blue-collar,married,basic.4y,False,False,False
519,42,blue-collar,married,unknown,,False,False
520,42,admin.,married,unknown,False,False,False
521,40,management,married,basic.9y,,,
522,38,blue-collar,married,basic.9y,False,False,False
523,39,blue-collar,married,basic.6y,False,True,False
524,39,blue-collar,married,basic.6y,False,False,False
525,38,admin.,married,high.school,False,False,False
526,47,admin.,single,unknown,,True,False
527,30,services,single,high.school,False,False,False
528,38,admin.,divorced,high.school,False,True,True
529,39,technician,divorced,university.degree,False,False,False
530,44,admin.,married,high.school,False,False,False
531,36,admin.,married,high.school,False,False,False
532,41,services,married,high.school,,True,True
533,41,blue-collar,married,basic.6y,False,False,False
534,35,blue-collar,married,basic.9y,False,False,False
535,41,technician,married,high.school,False,False,False
536,36,services,married,high.school,,False,False
537,35,admin.,single,high.school,False,True,True
538,33,blue-collar,single,basic.4y,,False,False
539,38,admin.,single,basic.6y,,False,False
540,33,self-employed,married,university.degree,False,False,False
541,55,self-employed,married,unknown,,False,False
542,36,blue-collar,single,basic.9y,,False,False
543,57,technician,married,professional.course,,False,True
544,32,entrepreneur,single,university.degree,False,True,False
545,30,self-employed,single,high.school,False,True,False
546,43,admin.,married,professional.course,False,True,True
547,46,admin.,married,university.degree,False,False,False
548,35,admin.,divorced,high.school,False,False,True
549,34,admin.,single,university.degree,False,True,True
550,50,blue-collar,married,basic.4y,,,
551,39,admin.,single,university.degree,False,False,False
552,39,blue-collar,married,basic.9y,,False,False
553,42,entrepreneur,married,basic.6y,False,False,False
554,57,retired,married,university.degree,False,True,False
555,45,blue-collar,married,basic.4y,,False,False
556,40,technician,married,basic.4y,False,False,True
557,42,blue-collar,married,high.school,False,False,True
558,40,technician,married,basic.4y,False,False,False
559,38,blue-collar,single,basic.4y,,False,False
560,39,blue-collar,married,basic.6y,,True,True
561,41,blue-collar,married,basic.4y,False,False,False
562,39,blue-collar,married,basic.6y,,True,False
563,41,blue-collar,married,basic.4y,False,True,True
564,45,admin.,married,university.degree,,False,False
565,35,admin.,divorced,university.degree,False,,
566,35,admin.,married,basic.6y,False,True,False
567,49,blue-collar,married,high.school,,False,False
568,36,technician,married,unknown,False,False,False
569,23,admin.,single,university.degree,False,False,False
570,43,unemployed,married,university.degree,,,
571,49,entrepreneur,married,professional.course,False,,
572,36,technician,married,professional.course,False,,
573,51,blue-collar,married,basic.9y,,True,False
574,56,retired,married,basic.4y,,True,True
575,45,housemaid,married,high.school,False,False,False
576,42,admin.,married,high.school,False,False,False
577,41,admin.,divorced,high.school,False,False,False
578,32,services,married,high.school,,False,True
579,46,management,married,university.degree,False,False,False
580,37,blue-collar,married,unknown,False,False,False
581,53,management,married,university.degree,,False,False
582,30,blue-collar,married,basic.4y,False,False,False
583,45,unknown,married,unknown,,False,False
584,24,technician,single,professional.course,False,False,True
585,45,unknown,married,unknown,,False,False
586,34,admin.,single,university.degree,False,False,True
587,41,management,married,university.degree,,False,False
588,59,blue-collar,married,basic.4y,False,True,False
589,45,blue-collar,married,basic.4y,,False,False
590,54,blue-collar,married,basic.6y,,False,False
591,32,technician,married,professional.course,False,False,False
592,33,technician,married,professional.course,False,True,False
593,32,admin.,married,university.degree,False,False,False
594,34,services,single,high.school,False,,
595,46,management,married,university.degree,False,False,False
596,57,technician,married,professional.course,False,True,False
597,42,technician,married,basic.9y,False,False,False
598,48,admin.,married,professional.course,False,True,False
599,58,admin.,divorced,university.degree,,True,False
600,34,services,married,high.school,False,False,False
601,32,admin.,single,university.degree,False,True,True
602,48,blue-collar,married,basic.9y,False,False,False
603,47,blue-collar,married,basic.9y,False,False,False
604,31,services,married,high.school,,False,False
605,32,admin.,single,university.degree,False,True,False
606,32,admin.,single,university.degree,False,False,False
607,36,services,married,high.school,False,False,False
608,53,blue-collar,married,basic.4y,,False,True
609,37,blue-collar,married,basic.9y,,False,False
610,50,services,married,high.school,False,False,False
611,46,blue-collar,married,basic.6y,False,True,False
612,41,admin.,married,high.school,False,False,False
613,43,blue-collar,single,basic.4y,False,False,False
614,51,management,married,university.degree,False,True,False
615,38,admin.,married,university.degree,False,True,False
616,41,technician,married,basic.6y,False,True,False
617,39,services,married,high.school,,False,False
618,52,blue-collar,married,basic.4y,False,False,False
619,37,technician,married,professional.course,False,True,False
620,41,admin.,married,basic.9y,False,True,False
621,46,admin.,divorced,university.degree,False,True,True
622,47,technician,married,professional.course,False,False,False
623,35,technician,married,professional.course,False,False,False
624,38,services,married,high.school,,False,False
625,30,blue-collar,single,unknown,False,True,True
626,46,blue-collar,married,basic.9y,False,True,False
627,30,technician,married,professional.course,False,False,False
628,35,services,single,basic.4y,False,False,False
629,58,admin.,married,unknown,,True,False
630,40,technician,married,professional.course,False,False,False
631,34,technician,married,university.degree,False,False,False
632,30,admin.,single,university.degree,False,False,False
633,38,services,married,basic.6y,False,False,False
634,55,management,single,basic.4y,False,False,False
635,55,management,married,university.degree,,True,False
636,45,technician,single,professional.course,False,True,False
637,36,admin.,married,university.degree,False,True,True
638,32,admin.,single,university.degree,False,False,False
639,35,technician,married,unknown,,True,False
640,55,management,divorced,university.degree,False,True,False
641,49,housemaid,married,basic.4y,,,
642,29,admin.,married,high.school,False,True,False
643,34,blue-collar,married,basic.4y,False,True,False
644,54,retired,married,high.school,,True,False
645,36,technician,single,professional.course,False,False,False
646,30,management,single,university.degree,False,True,False
647,33,housemaid,divorced,university.degree,False,False,False
648,37,blue-collar,married,high.school,False,False,False
649,36,technician,married,basic.9y,,True,False
650,33,blue-collar,married,high.school,False,False,False
651,32,housemaid,married,high.school,False,True,False
652,32,housemaid,married,high.school,False,False,False
653,50,blue-collar,married,basic.4y,,True,False
654,39,blue-collar,married,basic.9y,False,False,True
655,51,blue-collar,divorced,unknown,,True,True
656,33,services,married,high.school,False,False,False
657,33,services,married,basic.4y,False,False,False
658,56,management,married,university.degree,,False,True
659,39,management,divorced,university.degree,,True,False
660,33,self-employed,single,university.degree,False,False,False
661,59,retired,divorced,basic.4y,,False,False
662,42,admin.,single,unknown,False,True,False
663,43,services,married,high.school,False,False,True
664,35,admin.,married,university.degree,False,,
665,46,blue-collar,married,basic.6y,,True,False
666,27,technician,married,basic.9y,False,False,True
667,47,admin.,divorced,university.degree,False,True,False
668,31,admin.,single,university.degree,False,False,False
