campaign_id,client_id,number_contracts,duration,pdays,previous_campaign_contracts,previous_outcome,campaign_outcome,last_contact_date
177,177,1,107,999,0,,False,2024-05-29
178,178,2,303,999,0,,False,2024-05-13
179,179,1,81,999,0,,False,2024-05-11
180,180,1,270,999,0,,False,2024-05-30
181,181,1,228,999,0,,False,2024-05-12
182,182,1,240,999,0,,False,2024-05-31
183,183,2,673,999,0,,True,2024-05-20
184,184,3,233,999,0,,False,2024-05-08
185,185,1,102,999,0,,False,2024-05-13
186,186,1,461,999,0,,False,2024-05-19
187,187,1,250,999,0,,False,2024-05-20
188,188,1,130,999,0,,False,2024-05-03
189,189,1,252,999,0,,False,2024-05-18
190,190,1,138,999,0,,False,2024-05-19
191,191,1,412,999,0,,False,2024-05-10
192,192,2,179,999,0,,False,2024-05-19
193,193,2,19,999,0,,False,2024-05-07
194,194,2,228,999,0,,False,2024-05-26
195,195,1,55,999,0,,False,2024-05-31
196,196,1,717,999,0,,False,2024-05-06
197,197,1,313,999,0,,False,2024-05-07
198,198,1,289,999,0,,False,2024-05-29
199,199,2,683,999,0,,False,2024-05-25
200,200,1,1077,999,0,,False,2024-05-29
201,201,2,146,999,0,,False,2024-05-09
202,202,1,167,999,0,,False,2024-05-15
203,203,2,356,999,0,,False,2024-05-20
204,204,1,277,999,0,,False,2024-05-13
205,205,1,172,999,0,,False,2024-05-09
206,206,1,218,999,0,,False,2024-05-10
207,207,1,217,999,0,,False,2024-05-04
208,208,1,67,999,0,,False,2024-05-26
209,209,1,291,999,0,,False,2024-05-08
210,210,1,248,999,0,,False,2024-05-24
211,211,1,256,999,0,,False,2024-05-19
212,212,1,286,999,0,,False,2024-05-25
213,213,1,477,999,0,,False,2024-05-31
214,214,2,611,999,0,,False,2024-05-05
215,215,1,471,999,0,,False,2024-05-14
216,216,2,381,999,0,,False,2024-05-22
217,217,1,251,999,0,,False,2024-05-02
218,218,1,408,999,0,,False,2024-05-20
219,219,1,287,999,0,,False,2024-05-29
220,220,3,322,999,0,,False,2024-05-09
221,221,2,216,999,0,,False,2024-05-20
222,222,2,366,999,0,,False,2024-05-26
223,223,1,210,999,0,,False,2024-05-26
224,224,1,288,999,0,,False,2024-05-19
225,225,1,168,999,0,,False,2024-05-15
226,226,1,132,999,0,,False,2024-05-17
227,227,2,64,999,0,,False,2024-05-26
228,228,2,209,999,0,,False,2024-05-08
229,229,3,410,999,0,,False,2024-05-09
230,230,1,177,999,0,,False,2024-05-19
231,231,2,580,999,0,,False,2024-05-06
232,232,1,165,999,0,,False,2024-05-23
233,233,2,127,999,0,,False,2024-05-27
234,234,1,357,999,0,,False,2024-05-17
235,235,1,175,999,0,,False,2024-05-10
236,236,1,300,999,0,,False,2024-05-06
237,237,1,136,999,0,,False,2024-05-19
238,238,2,125,999,0,,False,2024-05-24
239,239,2,189,999,0,,False,2024-05-04
240,240,3,213,999,0,,False,2024-05-02
241,241,2,238,999,0,,False,2024-05-10
242,242,1,124,999,0,,False,2024-05-04
243,243,1,18,999,0,,False,2024-05-02
244,244,2,730,999,0,,False,2024-05-17
245,245,1,40,999,0,,False,2024-05-11
246,246,2,181,999,0,,False,2024-05-16
247,247,1,79,999,0,,False,2024-05-20
248,248,2,142,999,0,,False,2024-05-06
249,249,1,389,999,0,,False,2024-05-10
250,250,1,702,999,0,,False,2024-05-24
251,251,1,151,999,0,,False,2024-05-23
252,252,1,211,999,0,,False,2024-05-07
253,253,1,117,999,0,,False,2024-05-26
254,254,3,232,999,0,,False,2024-05-24
255,255,2,408,999,0,,False,2024-05-08
256,256,3,370,999,0,,False,2024-05-15
257,257,2,179,999,0,,False,2024-05-06
258,258,1,46,999,0,,False,2024-05-01
259,259,1,200,999,0,,False,2024-05-22
260,260,1,50,999,0,,False,2024-05-04
261,261,1,181,999,0,,False,2024-05-07
262,262,1,119,999,0,,False,2024-05-26
263,263,1,361,999,0,,False,2024-05-17
264,264,3,73,999,0,,False,2024-05-16
265,265,2,67,999,0,,False,2024-05-24
266,266,1,350,999,0,,False,2024-05-10
267,267,2,150,999,0,,False,2024-05-18
268,268,2,332,999,0,,False,2024-05-09
269,269,2,611,999,0,,False,2024-05-13
270,270,3,58,999,0,,False,2024-05-25
271,271,1,151,999,0,,False,2024-05-26
272,272,2,89,999,0,,False,2024-05-10
273,273,1,152,999,0,,False,2024-05-05
274,274,2,611,999,0,,False,2024-05-25
275,275,2,110,999,0,,False,2024-05-28
276,276,1,463,999,0,,False,2024-05-16
277,277,1,962,999,0,,False,2024-05-08
278,278,2,102,999,0,,False,2024-05-22
279,279,4,10,999,0,,False,2024-05-04
280,280,3,118,999,0,,False,2024-05-31
281,281,2,92,999,0,,False,2024-05-04
282,282,3,143,999,0,,False,2024-05-10
283,283,3,189,999,0,,False,2024-05-09
284,284,2,75,999,0,,False,2024-05-18
285,285,2,189,999,0,,False,2024-05-28
286,286,2,55,999,0,,False,2024-05-11
287,287,3,935,999,0,,True,2024-05-31
288,288,2,56,999,0,,False,2024-05-25
289,289,2,5,999,0,,False,2024-05-15
290,290,2,225,999,0,,False,2024-05-23
291,291,2,125,999,0,,False,2024-05-07
292,292,2,286,999,0,,False,2024-05-09
293,293,2,206,999,0,,False,2024-05-15
294,294,2,164,999,0,,False,2024-05-16
295,295,2,98,999,0,,False,2024-05-05
296,296,2,446,999,0,,False,2024-05-03
297,297,2,742,999,0,,False,2024-05-31
298,298,2,120,999,0,,False,2024-05-06
299,299,3,122,999,0,,False,2024-05-13
300,300,4,362,999,0,,False,2024-05-25
301,301,2,357,999,0,,False,2024-05-19
302,302,2,200,999,0,,False,2024-05-27
303,303,2,107,999,0,,False,2024-05-05
304,304,2,267,999,0,,False,2024-05-13
305,305,2,248,999,0,,False,2024-05-22
306,306,2,215,999,0,,False,2024-05-08
307,307,2,209,999,0,,False,2024-05-22
308,308,2,205,999,0,,False,2024-05-15
309,309,3,261,999,0,,False,2024-05-09
310,310,2,83,999,0,,False,2024-05-20
311,311,3,106,999,0,,False,2024-05-13
312,312,2,106,999,0,,False,2024-05-27
313,313,2,108,999,0,,False,2024-05-28
314,314,2,214,999,0,,False,2024-05-17
315,315,2,358,999,0,,False,2024-05-09
316,316,2,453,999,0,,False,2024-05-07
317,317,2,364,999,0,,False,2024-05-13
318,318,2,136,999,0,,False,2024-05-19
319,319,2,173,999,0,,False,2024-05-20
320,320,2,241,999,0,,False,2024-05-07
321,321,3,224,999,0,,False,2024-05-22
322,322,2,148,999,0,,False,2024-05-31
323,323,2,230,999,0,,False,2024-05-10
324,324,3,199,999,0,,False,2024-05-15
325,325,2,196,999,0,,False,2024-05-10
326,326,4,111,999,0,,False,2024-05-23
327,327,3,231,999,0,,False,2024-05-01
328,328,3,316,999,0,,False,2024-05-16
329,329,2,240,999,0,,False,2024-05-27
330,330,3,669,999,0,,False,2024-05-21
331,331,2,425,999,0,,False,2024-05-31
332,332,2,121,999,0,,False,2024-05-09
333,333,5,174,999,0,,False,2024-05-30
334,334,5,88,999,0,,False,2024-05-07
335,335,3,313,999,0,,False,2024-05-01
336,336,4,135,999,0,,False,2024-05-28
337,337,2,152,999,0,,False,2024-05-27
338,338,3,402,999,0,,False,2024-05-29
339,339,2,221,999,0,,False,2024-05-19
340,340,2,213,999,0,,False,2024-05-10
341,341,3,144,999,0,,False,2024-05-05
342,342,3,158,999,0,,False,2024-05-11
343,343,3,220,999,0,,False,2024-05-22
344,344,2,325,999,0,,False,2024-05-26
345,345,2,254,999,0,,False,2024-05-02
346,346,2,503,999,0,,False,2024-05-24
347,347,2,680,999,0,,False,2024-05-26
348,348,4,421,999,0,,False,2024-05-25
349,349,3,130,999,0,,False,2024-05-23
350,350,2,164,999,0,,False,2024-05-03
351,351,3,174,999,0,,False,2024-05-06
352,352,2,113,999,0,,False,2024-05-01
353,353,2,195,999,0,,False,2024-05-22
354,354,3,347,999,0,,False,2024-05-01
355,355,2,208,999,0,,False,2024-05-20
356,356,4,404,999,0,,False,2024-05-07
357,357,2,396,999,0,,False,2024-05-02
358,358,2,98,999,0,,False,2024-05-21
359,359,3,229,999,0,,False,2024-05-28
360,360,2,350,999,0,,False,2024-05-27
361,361,3,88,999,0,,False,2024-05-16
362,362,2,379,999,0,,False,2024-05-30
363,363,3,168,999,0,,False,2024-05-08
364,364,3,190,999,0,,False,2024-05-22
365,365,1,158,999,0,,False,2024-05-24
366,366,1,210,999,0,,False,2024-05-05
367,367,1,102,999,0,,False,2024-05-24
368,368,1,306,999,0,,False,2024-05-08
369,369,1,64,999,0,,False,2024-05-26
370,370,1,218,999,0,,False,2024-05-12
371,371,1,77,999,0,,False,2024-05-02
372,372,1,54,999,0,,False,2024-05-04
373,373,1,344,999,0,,False,2024-05-01
374,374,1,195,999,0,,False,2024-05-16
375,375,1,202,999,0,,False,2024-05-16
376,376,1,286,999,0,,False,2024-05-21
377,377,1,278,999,0,,False,2024-05-11
378,378,1,189,999,0,,False,2024-05-01
379,379,1,83,999,0,,False,2024-05-28
380,380,1,18,999,0,,False,2024-05-26
381,381,2,184,999,0,,False,2024-05-18
382,382,1,235,999,0,,False,2024-05-13
383,383,1,290,999,0,,False,2024-05-21
384,384,1,133,999,0,,False,2024-05-24
385,385,1,318,999,0,,False,2024-05-08
386,386,1,437,999,0,,False,2024-05-07
387,387,1,402,999,0,,False,2024-05-13
388,388,4,501,999,0,,False,2024-05-31
389,389,1,1201,999,0,,True,2024-05-02
390,390,1,1030,999,0,,True,2024-05-10
391,391,1,253,999,0,,False,2024-05-03
392,392,1,149,999,0,,False,2024-05-29
393,393,1,144,999,0,,False,2024-05-10
394,394,1,69,999,0,,False,2024-05-24
395,395,1,243,999,0,,False,2024-05-23
396,396,2,769,999,0,,False,2024-05-06
397,397,3,135,999,0,,False,2024-05-03
398,398,1,231,999,0,,False,2024-05-04
399,399,2,442,999,0,,False,2024-05-17
400,400,1,199,999,0,,False,2024-05-05
401,401,1,455,999,0,,False,2024-05-22
402,402,1,152,999,0,,False,2024-05-21
403,403,1,124,999,0,,False,2024-05-23
404,404,1,424,999,0,,False,2024-05-19
405,405,1,43,999,0,,False,2024-05-16
406,406,1,154,999,0,,False,2024-05-04
407,407,1,393,999,0,,False,2024-05-26
408,408,2,203,999,0,,False,2024-05-03
409,409,2,140,999,0,,False,2024-05-23
410,410,1,326,999,0,,False,2024-05-30
411,411,1,483,999,0,,False,2024-05-03
412,412,1,259,999,0,,False,2024-05-12
413,413,1,227,999,0,,False,2024-05-01
414,414,1,673,999,0,,False,2024-05-01
415,415,1,576,999,0,,False,2024-05-23
416,416,2,180,999,0,,False,2024-05-24
417,417,1,90,999,0,,False,2024-05-18
418,418,1,505,999,0,,False,2024-05-22
419,419,1,245,999,0,,False,2024-05-03
420,420,1,186,999,0,,False,2024-05-23
421,421,1,208,999,0,,False,2024-05-05
422,422,1,623,999,0,,False,2024-05-30
423,423,1,180,999,0,,False,2024-05-08
424,424,3,496,999,0,,False,2024-05-11
425,425,1,118,999,0,,False,2024-05-20
426,426,2,102,999,0,,False,2024-05-16
427,427,1,342,999,0,,False,2024-05-09
428,428,1,225,999,0,,False,2024-05-01
429,429,3,185,999,0,,False,2024-05-03
430,430,1,276,999,0,,False,2024-05-12
431,431,1,87,999,0,,False,2024-05-29
432,432,1,744,999,0,,False,2024-05-13
433,433,1,262,999,0,,False,2024-05-22
434,434,1,271,999,0,,False,2024-05-25
435,435,1,141,999,0,,False,2024-05-26
436,436,2,198,999,0,,False,2024-05-05
437,437,1,150,999,0,,False,2024-05-13
438,438,1,241,999,0,,False,2024-05-22
439,439,1,196,999,0,,False,2024-05-18
440,440,1,149,999,0,,False,2024-05-18
441,441,1,264,999,0,,False,2024-05-11
442,442,1,246,999,0,,False,2024-05-22
443,443,2,309,999,0,,False,2024-05-27
444,444,1,140,999,0,,False,2024-05-20
445,445,1,175,999,0,,False,2024-05-13
446,446,1,136,999,0,,False,2024-05-07
447,447,1,1623,999,0,,True,2024-05-29
448,448,1,50,999,0,,False,2024-05-16
449,449,1,101,999,0,,False,2024-05-15
450,450,1,144,999,0,,False,2024-05-09
451,451,1,238,999,0,,False,2024-05-17
452,452,1,354,999,0,,False,2024-05-13
453,453,2,451,999,0,,False,2024-05-07
454,454,1,159,999,0,,False,2024-05-23
455,455,1,170,999,0,,False,2024-05-19
456,456,1,243,999,0,,False,2024-05-30
457,457,2,141,999,0,,False,2024-05-03
458,458,1,112,999,0,,False,2024-05-08
459,459,2,262,999,0,,False,2024-05-01
460,460,1,53,999,0,,False,2024-05-09
461,461,1,134,999,0,,False,2024-05-25
462,462,4,204,999,0,,False,2024-05-21
463,463,1,678,999,0,,False,2024-05-22
464,464,1,182,999,0,,False,2024-05-18
465,465,1,162,999,0,,False,2024-05-26
466,466,1,177,999,0,,False,2024-05-05
467,467,1,27,999,0,,False,2024-05-12
468,468,3,699,999,0,,False,2024-05-20
469,469,1,358,999,0,,False,2024-05-13
470,470,1,1677,999,0,,True,2024-05-18
471,471,1,529,999,0,,False,2024-05-10
472,472,1,310,999,0,,False,2024-05-04
473,473,1,47,999,0,,False,2024-05-11
474,474,1,379,999,0,,False,2024-05-16
475,475,2,30,999,0,,False,2024-05-30
476,476,1,472,999,0,,False,2024-05-22
477,477,1,113,999,0,,False,2024-05-06
478,478,1,114,999,0,,False,2024-05-27
479,479,1,116,999,0,,False,2024-05-03
480,480,1,448,999,0,,False,2024-05-23
481,481,1,264,999,0,,False,2024-05-05
482,482,1,169,999,0,,False,2024-05-16
483,483,1,145,999,0,,False,2024-05-04
484,484,1,288,999,0,,False,2024-05-24
485,485,1,381,999,0,,False,2024-05-31
486,486,2,176,999,0,,False,2024-05-30
487,487,1,215,999,0,,False,2024-05-02
488,488,1,278,999,0,,False,2024-05-06
489,489,2,188,999,0,,False,2024-05-02
490,490,2,174,999,0,,False,2024-05-06
491,491,2,226,999,0,,False,2024-05-18
492,492,2,111,999,0,,False,2024-05-17
493,493,2,157,999,0,,False,2024-05-10
494,494,1,46,999,0,,False,2024-05-28
495,495,1,49,999,0,,False,2024-05-29
496,496,1,374,999,0,,False,2024-05-16
497,497,1,349,999,0,,False,2024-05-01
498,498,1,325,999,0,,False,2024-05-16
499,499,2,233,999,0,,False,2024-05-10
500,500,1,531,999,0,,False,2024-05-02
501,501,1,153,999,0,,False,2024-05-19
502,502,1,80,999,0,,False,2024-05-04
503,503,1,198,999,0,,False,2024-05-25
504,504,1,568,999,0,,False,2024-05-08
505,505,1,918,999,0,,True,2024-05-31
506,506,1,82,999,0,,False,2024-05-10
507,507,3,198,999,0,,False,2024-05-10
508,508,1,211,999,0,,False,2024-05-11
509,509,1,120,999,0,,False,2024-05-12
510,510,1,269,999,0,,False,2024-05-25
511,511,1,128,999,0,,False,2024-05-09
512,512,2,166,999,0,,False,2024-05-17
513,513,1,211,999,0,,False,2024-05-19
514,514,1,369,999,0,,False,2024-05-11
515,515,1,91,999,0,,False,2024-05-21
516,516,2,267,999,0,,False,2024-05-04
517,517,1,198,999,0,,False,2024-05-28
518,518,2,371,999,0,,False,2024-05-08
519,519,2,288,999,0,,False,2024-05-11
520,520,1,221,999,0,,False,2024-05-08
521,521,1,427,999,0,,False,2024-05-01
522,522,1,310,999,0,,False,2024-05-23
523,523,1,158,999,0,,False,2024-05-04
524,524,1,198,999,0,,False,2024-05-19
525,525,1,145,999,0,,False,2024-05-02
526,526,1,247,999,0,,False,2024-05-04
527,527,1,102,999,0,,False,2024-05-07
528,528,2,179,999,0,,False,2024-05-06
529,529,1,73,999,0,,False,2024-05-16
530,530,2,263,999,0,,False,2024-05-22
531,531,2,342,999,0,,False,2024-05-07
532,532,1,41,999,0,,False,2024-05-25
533,533,1,13,999,0,,False,2024-05-16
534,534,2,79,999,0,,False,2024-05-03
535,535,1,358,999,0,,False,2024-05-29
536,536,1,162,999,0,,False,2024-05-20
537,537,1,150,999,0,,False,2024-05-30
538,538,1,26,999,0,,False,2024-05-23
539,539,1,250,999,0,,False,2024-05-29
540,540,1,792,999,0,,False,2024-05-09
541,541,1,146,999,0,,False,2024-05-23
542,542,1,440,999,0,,False,2024-05-26
543,543,1,289,999,0,,False,2024-05-18
544,544,2,242,999,0,,False,2024-05-29
545,545,1,123,999,0,,False,2024-05-25
546,546,2,161,999,0,,False,2024-05-01
547,547,2,268,999,0,,False,2024-05-28
548,548,2,259,999,0,,False,2024-05-03
549,549,1,26,999,0,,False,2024-05-25
550,550,1,153,999,0,,False,2024-05-03
551,551,2,424,999,0,,False,2024-05-04
552,552,1,375,999,0,,False,2024-05-22
553,553,2,179,999,0,,False,2024-05-11
554,554,1,383,999,0,,False,2024-05-14
555,555,1,440,999,0,,False,2024-05-25
556,556,1,195,999,0,,False,2024-05-13
557,557,3,1297,999,0,,True,2024-05-02
558,558,1,217,999,0,,False,2024-05-12
559,559,1,87,999,0,,False,2024-05-19
560,560,1,427,999,0,,False,2024-05-21
561,561,1,189,999,0,,False,2024-05-18
562,562,1,502,999,0,,False,2024-05-22
563,563,1,260,999,0,,False,2024-05-27
564,564,1,209,999,0,,False,2024-05-06
565,565,1,179,999,0,,False,2024-05-12
566,566,1,179,999,0,,False,2024-05-16
567,567,1,69,999,0,,False,2024-05-23
568,568,2,105,999,0,,False,2024-05-14
569,569,3,266,999,0,,False,2024-05-29
570,570,2,87,999,0,,False,2024-05-21
571,571,2,524,999,0,,False,2024-05-22
572,572,2,155,999,0,,False,2024-05-17
573,573,2,162,999,0,,False,2024-05-25
574,574,4,316,999,0,,False,2024-05-27
575,575,2,352,999,0,,False,2024-05-24
576,576,3,695,999,0,,False,2024-05-30
577,577,4,76,999,0,,False,2024-05-31
578,578,2,535,999,0,,False,2024-05-12
579,579,2,310,999,0,,False,2024-05-08
580,580,3,390,999,0,,False,2024-05-02
581,581,1,369,999,0,,False,2024-05-13
582,582,2,112,999,0,,False,2024-05-02
583,583,1,79,999,0,,False,2024-05-13
584,584,2,140,999,0,,False,2024-05-28
585,585,1,315,999,0,,False,2024-05-18
586,586,2,262,999,0,,False,2024-05-07
587,587,2,174,999,0,,False,2024-05-06
588,588,2,424,999,0,,False,2024-05-10
589,589,1,135,999,0,,False,2024-05-06
590,590,5,36,999,0,,False,2024-05-09
591,591,3,1906,999,0,,False,2024-05-15
592,592,2,219,999,0,,False,2024-05-06
593,593,1,135,999,0,,False,2024-05-20
594,594,2,147,999,0,,False,2024-05-26
595,595,2,407,999,0,,False,2024-05-23
596,596,4,402,999,0,,False,2024-05-14
597,597,1,209,999,0,,False,2024-05-30
598,598,2,92,999,0,,False,2024-05-11
599,599,1,208,999,0,,False,2024-05-07
600,600,1,193,999,0,,False,2024-05-27
601,601,1,65,999,0,,False,2024-05-31
602,602,2,284,999,0,,False,2024-05-10
603,603,1,285,999,0,,False,2024-05-25
604,604,1,231,999,0,,False,2024-05-14
605,605,1,278,999,0,,False,2024-05-07
606,606,1,389,999,0,,False,2024-05-22
607,607,1,158,999,0,,False,2024-05-23
608,608,2,78,999,0,,False,2024-05-06
609,609,5,258,999,0,,False,2024-05-22
610,610,1,87,999,0,,False,2024-05-18
611,611,2,147,999,0,,False,2024-05-27
612,612,1,635,999,0,,False,2024-05-01
613,613,1,289,999,0,,False,2024-05-22
614,614,3,170,999,0,,False,2024-05-31
615,615,1,802,999,0,,False,2024-05-20
616,616,2,381,999,0,,False,2024-05-13
617,617,4,218,999,0,,False,2024-05-31
618,618,2,57,999,0,,False,2024-05-01
619,619,2,304,999,0,,False,2024-05-06
620,620,3,241,999,0,,False,2024-05-11
621,621,1,230,999,0,,False,2024-05-01
622,622,4,79,999,0,,False,2024-05-11
623,623,3,262,999,0,,False,2024-05-04
624,624,2,392,999,0,,False,2024-05-07
625,625,2,201,999,0,,False,2024-05-27
626,626,1,145,999,0,,False,2024-05-06
627,627,1,252,999,0,,False,2024-05-01
628,628,1,329,999,0,,False,2024-05-18
629,629,2,328,999,0,,False,2024-05-22
630,630,2,191,999,0,,False,2024-05-16
